record_index,byte_offset,sample_seq,time_s,device_id,accel_x_raw,accel_x_g,accel_y_raw,accel_y_g,accel_z_raw,accel_z_g,gyro_x_raw,gyro_x_dps,gyro_y_raw,gyro_y_dps,gyro_z_raw,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_x_deg,angle_y_raw,angle_y_deg,angle_z_raw,angle_z_deg,battery_raw,battery_voltage
542,19641,2346010,0.226,0,-2,-0.0009765625,-21,-0.01025390625,2100,1.025390625,-8,-0.48828125,-14,-0.8544921875,5,0.30517578125,-8284,-3909,166,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,404,4.04
543,19673,2346010,0.226,1,-9,-0.00439453125,-17,-0.00830078125,2062,1.0068359375,0,0.0,-12,-0.732421875,-1,-0.06103515625,-1414,-5303,-4211,-646,-3.548583984375,-794,-4.361572265625,-6623,-36.3812255859375,408,4.08
545,19742,2346011,0.2265,2,7,0.00341796875,-22,-0.0107421875,2075,1.01318359375,-3,-0.18310546875,-3,-0.18310546875,9,0.54931640625,-2849,5004,13335,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,410,4.1
557,20181,2346022,0.232,0,1,0.00048828125,-17,-0.00830078125,2100,1.025390625,-5,-0.30517578125,-14,-0.8544921875,4,0.244140625,-8282,-3914,211,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,404,4.04
558,20213,2346022,0.232,1,-8,-0.00390625,-19,-0.00927734375,2056,1.00390625,-2,-0.1220703125,-14,-0.8544921875,-2,-0.1220703125,-1423,-5297,-4188,-642,-3.526611328125,-790,-4.339599609375,-6624,-36.38671875,408,4.08
561,20319,2346024,0.233,2,6,0.0029296875,-22,-0.0107421875,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,9,0.54931640625,-2855,4994,13342,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,410,4.1
572,20721,2346034,0.238,0,3,0.00146484375,-20,-0.009765625,2099,1.02490234375,-6,-0.3662109375,-14,-0.8544921875,5,0.30517578125,-8282,-3895,184,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,404,4.04
575,20827,2346036,0.239,1,-11,-0.00537109375,-22,-0.0107421875,2065,1.00830078125,1,0.06103515625,-14,-0.8544921875,0,0.0,-1441,-5293,-4268,-642,-3.526611328125,-790,-4.339599609375,-6624,-36.38671875,408,4.08
578,20933,2346038,0.24,2,5,0.00244140625,-21,-0.01025390625,2076,1.013671875,-2,-0.1220703125,-4,-0.244140625,10,0.6103515625,-2900,4999,13323,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,410,4.1
589,21335,2346048,0.245,0,3,0.00146484375,-20,-0.009765625,2099,1.02490234375,-6,-0.3662109375,-14,-0.8544921875,5,0.30517578125,-8282,-3895,184,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,404,4.04
592,21441,2346050,0.246,1,-10,-0.0048828125,-19,-0.00927734375,2061,1.00634765625,-2,-0.1220703125,-14,-0.8544921875,-1,-0.06103515625,-1403,-5322,-4269,-642,-3.526611328125,-790,-4.339599609375,-6624,-36.38671875,408,4.08
599,21695,2346056,0.249,2,5,0.00244140625,-21,-0.01025390625,2077,1.01416015625,-3,-0.18310546875,-4,-0.244140625,9,0.54931640625,-2900,5017,13314,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,410,4.1
606,21949,2346062,0.252,0,1,0.00048828125,-24,-0.01171875,2098,1.0244140625,-8,-0.48828125,-16,-0.9765625,5,0.30517578125,-8310,-3928,212,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,405,4.05
613,22203,2346068,0.255,1,-7,-0.00341796875,-16,-0.0078125,2056,1.00390625,-2,-0.1220703125,-13,-0.79345703125,1,0.06103515625,-1395,-5296,-4211,-639,-3.5101318359375,-785,-4.3121337890625,-6624,-36.38671875,407,4.07
614,22235,2346068,0.255,2,5,0.00244140625,-21,-0.01025390625,2077,1.01416015625,-3,-0.18310546875,-4,-0.244140625,9,0.54931640625,-2889,4986,13311,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,410,4.1
