record_index,byte_offset,sample_seq,time_s,adc_raw_ch01,adc_raw_ch02,adc_raw_ch03,adc_raw_ch04,adc_raw_ch05,adc_raw_ch06,adc_raw_ch07,adc_raw_ch08,adc_raw_ch09,adc_raw_ch10,adc_raw_ch11,adc_raw_ch12,adc_raw_ch13,adc_raw_ch14,adc_raw_ch15,adc_raw_ch16,adc_volts_ch01,adc_volts_ch02,adc_volts_ch03,adc_volts_ch04,adc_volts_ch05,adc_volts_ch06,adc_volts_ch07,adc_volts_ch08,adc_volts_ch09,adc_volts_ch10,adc_volts_ch11,adc_volts_ch12,adc_volts_ch13,adc_volts_ch14,adc_volts_ch15,adc_volts_ch16
56,2094,195534,0.027,22918,22896,22874,22902,22866,22926,22892,22860,22750,22768,22770,22690,22670,22640,22726,22774,3.49700927734375,3.49365234375,3.49029541015625,3.49456787109375,3.48907470703125,3.49822998046875,3.4930419921875,3.4881591796875,3.47137451171875,3.47412109375,3.47442626953125,3.46221923828125,3.45916748046875,3.45458984375,3.46771240234375,3.47503662109375
57,2131,195535,0.0275,22772,22748,22728,22746,22726,22794,22754,22722,22630,22632,22648,22564,22556,22508,22596,22650,3.4747314453125,3.4710693359375,3.468017578125,3.47076416015625,3.46771240234375,3.47808837890625,3.47198486328125,3.46710205078125,3.45306396484375,3.453369140625,3.455810546875,3.4429931640625,3.4417724609375,3.4344482421875,3.4478759765625,3.45611572265625
58,2168,195536,0.028,22852,22828,22804,22828,22796,22872,22818,22790,22690,22696,22710,22638,22608,22574,22660,22714,3.4869384765625,3.4832763671875,3.4796142578125,3.4832763671875,3.4783935546875,3.489990234375,3.48175048828125,3.47747802734375,3.46221923828125,3.463134765625,3.46527099609375,3.45428466796875,3.44970703125,3.44451904296875,3.4576416015625,3.46588134765625
59,2205,195537,0.0285,22936,22914,22894,22912,22884,22940,22916,22882,22780,22778,22798,22718,22708,22670,22756,22808,3.499755859375,3.49639892578125,3.49334716796875,3.49609375,3.4918212890625,3.5003662109375,3.4967041015625,3.49151611328125,3.4759521484375,3.47564697265625,3.47869873046875,3.46649169921875,3.4649658203125,3.45916748046875,3.4722900390625,3.480224609375
60,2242,195538,0.029,22874,22850,22834,22858,22820,22878,22854,22814,22734,22714,22748,22656,22650,22616,22696,22746,3.49029541015625,3.48663330078125,3.48419189453125,3.48785400390625,3.4820556640625,3.49090576171875,3.48724365234375,3.48114013671875,3.46893310546875,3.46588134765625,3.4710693359375,3.45703125,3.45611572265625,3.450927734375,3.463134765625,3.47076416015625
63,2343,195539,0.0295,22914,22896,22864,22890,22862,22928,22892,22858,22760,22752,22770,22688,22676,22642,22726,22762,3.49639892578125,3.49365234375,3.48876953125,3.49273681640625,3.48846435546875,3.49853515625,3.4930419921875,3.48785400390625,3.472900390625,3.4716796875,3.47442626953125,3.4619140625,3.4600830078125,3.45489501953125,3.46771240234375,3.47320556640625
64,2380,195540,0.03,22988,22968,22948,22972,22934,23006,22974,22932,22828,22844,22838,22778,22746,22732,22794,22852,3.5076904296875,3.504638671875,3.5015869140625,3.5052490234375,3.49945068359375,3.51043701171875,3.50555419921875,3.4991455078125,3.4832763671875,3.4857177734375,3.48480224609375,3.47564697265625,3.47076416015625,3.4686279296875,3.47808837890625,3.4869384765625
65,2417,195541,0.0305,22992,22966,22942,22972,22934,23002,22974,22930,22820,22842,22842,22758,22746,22730,22786,22846,3.50830078125,3.50433349609375,3.50067138671875,3.5052490234375,3.49945068359375,3.50982666015625,3.50555419921875,3.49884033203125,3.4820556640625,3.48541259765625,3.48541259765625,3.47259521484375,3.47076416015625,3.46832275390625,3.47686767578125,3.48602294921875
66,2454,195542,0.031,22986,22958,22942,22968,22930,23000,22952,22922,22846,22826,22842,22774,22742,22710,22794,22846,3.50738525390625,3.50311279296875,3.50067138671875,3.504638671875,3.49884033203125,3.509521484375,3.502197265625,3.49761962890625,3.48602294921875,3.48297119140625,3.48541259765625,3.47503662109375,3.47015380859375,3.46527099609375,3.47808837890625,3.48602294921875
67,2491,195543,0.0315,22980,22960,22942,22964,22928,22996,22954,22926,22850,22840,22844,22776,22742,22730,22796,22850,3.5064697265625,3.50341796875,3.50067138671875,3.5040283203125,3.49853515625,3.5089111328125,3.50250244140625,3.49822998046875,3.48663330078125,3.485107421875,3.4857177734375,3.475341796875,3.47015380859375,3.46832275390625,3.4783935546875,3.48663330078125
68,2528,195544,0.032,22978,22956,22932,22946,22922,22998,22952,22918,22824,22816,22828,22752,22738,22696,22786,22838,3.50616455078125,3.5028076171875,3.4991455078125,3.50128173828125,3.49761962890625,3.50921630859375,3.502197265625,3.49700927734375,3.482666015625,3.4814453125,3.4832763671875,3.4716796875,3.46954345703125,3.463134765625,3.47686767578125,3.48480224609375
